t,H,L,R
13.9000,4.7654,0.0027,98.5750
14.0000,4.8121,0.0026,97.5947
14.1000,4.8593,0.0024,96.6241
14.2000,4.9069,0.0023,95.6631
14.3000,4.9549,0.0022,94.7117
14.4000,5.0035,0.0021,93.7697
14.5000,5.0525,0.0020,92.8370
14.6000,5.1019,0.0019,91.9136
14.7000,5.1519,0.0018,90.9994
14.8000,5.2023,0.0017,90.0942
14.9000,5.2532,0.0016,89.1981
15.0000,5.3045,0.0015,88.3108
15.1000,5.3564,0.0015,87.4324
15.2000,5.4088,0.0014,86.5627
15.3000,5.4616,0.0013,85.7016
15.4000,5.5150,0.0013,84.8491
15.5000,5.5689,0.0012,84.0050
15.6000,5.6232,0.0012,83.1693
15.7000,5.6781,0.0011,82.3420
15.8000,5.7336,0.0011,81.5228
15.9000,5.7895,0.0010,80.7118
16.0000,5.8460,0.0010,79.9089
16.1000,5.9030,0.0009,79.1139
16.2000,5.9605,0.0009,78.3269
16.3000,6.0186,0.0008,77.5476
16.4000,6.0773,0.0008,76.7762
16.5000,6.1365,0.0008,76.0123
16.6000,6.1962,0.0007,75.2561
16.7000,6.2565,0.0007,74.5074
16.8000,6.3174,0.0007,73.7662
16.9000,6.3789,0.0007,73.0323
17.0000,6.4409,0.0006,72.3057
17.1000,6.5035,0.0006,71.5863
17.2000,6.5667,0.0006,70.8741
17.3000,6.6305,0.0006,70.1690
17.4000,6.6949,0.0005,69.4709
17.5000,6.7599,0.0005,68.7797
17.6000,6.8256,0.0005,68.0954
17.7000,6.8918,0.0005,67.4179
17.8000,6.9586,0.0005,66.7471
17.9000,7.0261,0.0004,66.0831
18.0000,7.0942,0.0004,65.4256
18.1000,7.1629,0.0004,64.7746
18.2000,7.2323,0.0004,64.1302
18.3000,7.3023,0.0004,63.4921
18.4000,7.3730,0.0004,62.8604
18.5000,7.4444,0.0004,62.2350
18.6000,7.5164,0.0004,61.6158
18.7000,7.5890,0.0003,61.0027
18.8000,7.6624,0.0003,60.3958
18.9000,7.7364,0.0003,59.7949
19.0000,7.8111,0.0003,59.1999
19.1000,7.8865,0.0003,58.6109
19.2000,7.9626,0.0003,58.0278
19.3000,8.0394,0.0003,57.4504
19.4000,8.1169,0.0003,56.8788
19.5000,8.1952,0.0003,56.3129
19.6000,8.2741,0.0003,55.7526
19.7000,8.3538,0.0003,55.1979
19.8000,8.4342,0.0002,54.6487
19.9000,8.5154,0.0002,54.1049
20.0000,8.5972,0.0002,53.5666
20.1000,8.6799,0.0002,53.0336
20.2000,8.7633,0.0002,52.5060
20.3000,8.8475,0.0002,51.9835
20.4000,8.9324,0.0002,51.4663
20.5000,9.0181,0.0002,50.9542
20.6000,9.1046,0.0002,50.4473
20.7000,9.1919,0.0002,49.9453
20.8000,9.2800,0.0002,49.4484
20.9000,9.3689,0.0002,48.9564
21.0000,9.4586,0.0002,48.4693
21.1000,9.5491,0.0002,47.9870
21.2000,9.6405,0.0002,47.5095
21.3000,9.7327,0.0002,47.0368
21.4000,9.8257,0.0002,46.5688
21.5000,9.9195,0.0002,46.1055
21.6000,10.0142,0.0002,45.6467
21.7000,10.1098,0.0001,45.1925
21.8000,10.2062,0.0001,44.7429
21.9000,10.3035,0.0001,44.2977
22.0000,10.4016,0.0001,43.8569
22.1000,10.5007,0.0001,43.4206
22.2000,10.6006,0.0001,42.9885
22.3000,10.7015,0.0001,42.5608
22.4000,10.8032,0.0001,42.1373
22.5000,10.9058,0.0001,41.7181
22.6000,11.0094,0.0001,41.3030
22.7000,11.1139,0.0001,40.8920
22.8000,11.2193,0.0001,40.4851
22.9000,11.3257,0.0001,40.0823
23.0000,11.4330,0.0001,39.6835
23.1000,11.5413,0.0001,39.2887
23.2000,11.6505,0.0001,38.8977
23.3000,11.7607,0.0001,38.5107
23.4000,11.8719,0.0001,38.1275
23.5000,11.9841,0.0001,37.7482
23.6000,12.0972,0.0001,37.3726
23.7000,12.2114,0.0001,37.0007
23.8000,12.3265,0.0001,36.6326
23.9000,12.4427,0.0001,36.2681
24.0000,12.5599,0.0001,35.9072
24.1000,12.6781,0.0001,35.5499
24.2000,12.7974,0.0001,35.1962
24.3000,12.9177,0.0001,34.8460
24.4000,13.0391,0.0001,34.4993
24.5000,13.1615,0.0001,34.1560
24.6000,13.2850,0.0001,33.8162
24.7000,13.4095,0.0001,33.4797
24.8000,13.5352,0.0001,33.1466
24.9000,13.6619,0.0001,32.8168
25.0000,13.7897,0.0001,32.4902
25.1000,13.9187,0.0001,32.1670
25.2000,14.0487,0.0001,31.8469
25.3000,14.1799,0.0001,31.5300
25.4000,14.3122,0.0001,31.2163
25.5000,14.4457,0.0001,30.9057
25.6000,14.5803,0.0001,30.5982
25.7000,14.7160,0.0001,30.2937
25.8000,14.8529,0.0001,29.9923
25.9000,14.9910,0.0001,29.6939
26.0000,15.1303,0.0001,29.3984
26.1000,15.2707,0.0001,29.1059
26.2000,15.4124,0.0001,28.8163
26.3000,15.5552,0.0001,28.5296
26.4000,15.6993,0.0001,28.2457
26.5000,15.8446,0.0001,27.9647
26.6000,15.9911,0.0001,27.6864
26.7000,16.1388,0.0001,27.4109
26.8000,16.2878,0.0001,27.1382
26.9000,16.4380,0.0001,26.8682
27.0000,16.5895,0.0001,26.6008
27.1000,16.7423,0.0001,26.3362
27.2000,16.8963,0.0001,26.0741
27.3000,17.0517,0.0001,25.8147
27.4000,17.2083,0.0001,25.5578
27.5000,17.3662,0.0001,25.3035
27.6000,17.5255,0.0001,25.0517
27.7000,17.6860,0.0001,24.8025
27.8000,17.8479,0.0001,24.5557
27.9000,18.0111,0.0001,24.3114
28.0000,18.1757,0.0001,24.0695
28.1000,18.3416,0.0001,23.8300
28.2000,18.5089,0.0001,23.5929
28.3000,18.6775,0.0001,23.3581
28.4000,18.8475,0.0001,23.1257
28.5000,19.0189,0.0001,22.8956
28.6000,19.1917,0.0001,22.6678
28.7000,19.3659,0.0001,22.4422
28.8000,19.5415,0.0001,22.2189
28.9000,19.7186,0.0001,21.9979
29.0000,19.8970,0.0001,21.7790
29.1000,20.0769,0.0001,21.5623
29.2000,20.2583,0.0001,21.3477
29.3000,20.4410,0.0001,21.1353
29.4000,20.6253,0.0001,20.9250
29.5000,20.8110,0.0001,20.7168
29.6000,20.9982,0.0001,20.5107
29.7000,21.1869,0.0001,20.3066
29.8000,21.3770,0.0001,20.1046
29.9000,21.5687,0.0001,19.9045
30.0000,21.7619,0.0001,19.7065
30.1000,21.9566,0.0001,19.5104
30.2000,22.1528,0.0001,19.3163
30.3000,22.3506,0.0001,19.1241
30.4000,22.5499,0.0001,18.9338
30.5000,22.7507,0.0001,18.7454
30.6000,22.9531,0.0001,18.5589
30.7000,23.1571,0.0001,18.3742
30.8000,23.3626,0.0001,18.1914
30.9000,23.5698,0.0001,18.0104
31.0000,23.7785,0.0001,17.8312
31.1000,23.9888,0.0001,17.6537
31.2000,24.2007,0.0001,17.4781
31.3000,24.4142,0.0001,17.3042
31.4000,24.6294,0.0001,17.1320
31.5000,24.8462,0.0001,16.9615
31.6000,25.0646,0.0001,16.7928
31.7000,25.2846,0.0001,16.6257
31.8000,25.5063,0.0001,16.4603
31.9000,25.7297,0.0001,16.2965
32.0000,25.9547,0.0001,16.1343
32.1000,26.1814,0.0001,15.9738
32.2000,26.4098,0.0001,15.8149
32.3000,26.6398,0.0001,15.6575
32.4000,26.8716,0.0001,15.5017
32.5000,27.1051,0.0001,15.3475
