t,H,L,R
175.7000,8.8381,23.6532,6.1492
175.8000,8.5116,23.5480,6.3823
175.9000,8.1991,23.4330,6.6228
176.0000,7.9002,23.3085,6.8706
176.1000,7.6142,23.1751,7.1260
176.2000,7.3407,23.0329,7.3887
176.3000,7.0791,22.8825,7.6589
176.4000,6.8291,22.7241,7.9365
176.5000,6.5902,22.5581,8.2216
176.6000,6.3618,22.3849,8.5139
176.7000,6.1436,22.2048,8.8136
176.8000,5.9351,22.0181,9.1205
176.9000,5.7359,21.8251,9.4344
177.0000,5.5456,21.6261,9.7554
177.1000,5.3639,21.4215,10.0831
177.2000,5.1903,21.2116,10.4176
177.3000,5.0245,20.9966,10.7586
177.4000,4.8662,20.7769,11.1060
177.5000,4.7149,20.5526,11.4594
177.6000,4.5705,20.3242,11.8188
177.7000,4.4326,20.0918,12.1838
177.8000,4.3009,19.8558,12.5542
177.9000,4.1751,19.6163,12.9297
178.0000,4.0549,19.3737,13.3100
178.1000,3.9402,19.1282,13.6949
178.2000,3.8306,18.8800,14.0839
178.3000,3.7260,18.6294,14.4767
178.4000,3.6260,18.3766,14.8730
178.5000,3.5306,18.1219,15.2723
178.6000,3.4394,17.8655,15.6744
178.7000,3.3523,17.6075,16.0788
178.8000,3.2692,17.3483,16.4852
178.9000,3.1897,17.0881,16.8930
179.0000,3.1139,16.8270,17.3018
179.1000,3.0414,16.5653,17.7113
179.2000,2.9722,16.3031,18.1210
179.3000,2.9061,16.0407,18.5305
179.4000,2.8430,15.7784,18.9392
179.5000,2.7827,15.5161,19.3469
179.6000,2.7251,15.2543,19.7529
179.7000,2.6701,14.9929,20.1569
179.8000,2.6176,14.7323,20.5585
179.9000,2.5675,14.4726,20.9571
180.0000,2.5196,14.2139,21.3524
180.1000,2.4740,13.9565,21.7439
180.2000,2.4304,13.7004,22.1313
180.3000,2.3888,13.4459,22.5140
180.4000,2.3491,13.1931,22.8917
180.5000,2.3112,12.9421,23.2641
180.6000,2.2751,12.6930,23.6307
180.7000,2.2407,12.4461,23.9911
180.8000,2.2078,12.2013,24.3451
180.9000,2.1765,11.9589,24.6923
181.0000,2.1468,11.7189,25.0323
181.1000,2.1184,11.4815,25.3650
181.2000,2.0914,11.2468,25.6899
181.3000,2.0657,11.0147,26.0068
181.4000,2.0412,10.7855,26.3155
181.5000,2.0180,10.5593,26.6157
181.6000,1.9959,10.3360,26.9073
181.7000,1.9750,10.1157,27.1899
181.8000,1.9551,9.8986,27.4636
181.9000,1.9363,9.6846,27.7280
182.0000,1.9184,9.4739,27.9831
182.1000,1.9016,9.2664,28.2288
182.2000,1.8856,9.0622,28.4648
182.3000,1.8706,8.8614,28.6913
182.4000,1.8564,8.6639,28.9080
182.5000,1.8430,8.4698,29.1149
182.6000,1.8304,8.2791,29.3120
182.7000,1.8186,8.0919,29.4994
182.8000,1.8076,7.9080,29.6769
182.9000,1.7973,7.7276,29.8446
183.0000,1.7877,7.5506,30.0025
183.1000,1.7787,7.3771,30.1507
183.2000,1.7704,7.2069,30.2892
183.3000,1.7628,7.0401,30.4181
183.4000,1.7557,6.8768,30.5375
183.5000,1.7493,6.7167,30.6474
183.6000,1.7434,6.5601,30.7480
183.7000,1.7381,6.4067,30.8393
183.8000,1.7333,6.2566,30.9215
183.9000,1.7291,6.1098,30.9948
184.0000,1.7253,5.9662,31.0592
184.1000,1.7221,5.8257,31.1149
184.2000,1.7193,5.6884,31.1620
184.3000,1.7171,5.5542,31.2007
184.4000,1.7152,5.4231,31.2312
184.5000,1.7139,5.2950,31.2536
184.6000,1.7129,5.1699,31.2681
184.7000,1.7124,5.0476,31.2749
184.8000,1.7123,4.9283,31.2742
184.9000,1.7126,4.8118,31.2660
185.0000,1.7133,4.6981,31.2507
185.1000,1.7144,4.5871,31.2283
185.2000,1.7158,4.4788,31.1992
185.3000,1.7176,4.3732,31.1634
185.4000,1.7198,4.2701,31.1211
185.5000,1.7224,4.1695,31.0726
185.6000,1.7253,4.0715,31.0179
185.7000,1.7285,3.9758,30.9574
185.8000,1.7320,3.8826,30.8912
185.9000,1.7359,3.7917,30.8194
186.0000,1.7401,3.7031,30.7423
186.1000,1.7446,3.6167,30.6600
186.2000,1.7495,3.5324,30.5727
186.3000,1.7546,3.4504,30.4806
186.4000,1.7600,3.3704,30.3838
186.5000,1.7658,3.2924,30.2826
186.6000,1.7718,3.2164,30.1770
186.7000,1.7781,3.1424,30.0673
186.8000,1.7847,3.0702,29.9537
186.9000,1.7915,3.0000,29.8362
187.0000,1.7987,2.9315,29.7150
187.1000,1.8061,2.8648,29.5904
187.2000,1.8138,2.7997,29.4623
187.3000,1.8217,2.7364,29.3311
187.4000,1.8299,2.6747,29.1968
187.5000,1.8384,2.6146,29.0596
187.6000,1.8472,2.5560,28.9196
187.7000,1.8561,2.4990,28.7769
187.8000,1.8654,2.4434,28.6317
187.9000,1.8749,2.3893,28.4842
188.0000,1.8846,2.3365,28.3343
188.1000,1.8946,2.2851,28.1823
188.2000,1.9048,2.2351,28.0283
188.3000,1.9153,2.1863,27.8724
188.4000,1.9260,2.1388,27.7147
188.5000,1.9370,2.0925,27.5552
188.6000,1.9482,2.0473,27.3942
188.7000,1.9596,2.0034,27.2317
188.8000,1.9713,1.9606,27.0678
188.9000,1.9832,1.9188,26.9027
189.0000,1.9953,1.8782,26.7363
189.1000,2.0077,1.8385,26.5688
189.2000,2.0203,1.7999,26.4003
189.3000,2.0331,1.7623,26.2309
189.4000,2.0462,1.7256,26.0607
189.5000,2.0595,1.6899,25.8896
189.6000,2.0731,1.6550,25.7179
189.7000,2.0868,1.6210,25.5455
189.8000,2.1008,1.5879,25.3727
189.9000,2.1151,1.5557,25.1993
190.0000,2.1295,1.5242,25.0255
190.1000,2.1442,1.4935,24.8514
190.2000,2.1591,1.4636,24.6770
190.3000,2.1743,1.4344,24.5023
190.4000,2.1897,1.4060,24.3275
190.5000,2.2053,1.3783,24.1526
190.6000,2.2211,1.3512,23.9776
190.7000,2.2372,1.3248,23.8027
190.8000,2.2535,1.2991,23.6277
190.9000,2.2701,1.2740,23.4529
191.0000,2.2868,1.2495,23.2782
191.1000,2.3038,1.2256,23.1037
191.2000,2.3211,1.2023,22.9294
191.3000,2.3386,1.1796,22.7554
191.4000,2.3563,1.1574,22.5817
191.5000,2.3742,1.1358,22.4083
191.6000,2.3924,1.1146,22.2353
191.7000,2.4108,1.0940,22.0628
191.8000,2.4295,1.0739,21.8906
191.9000,2.4484,1.0543,21.7190
192.0000,2.4675,1.0351,21.5479
192.1000,2.4869,1.0164,21.3773
192.2000,2.5066,0.9981,21.2072
192.3000,2.5264,0.9802,21.0378
192.4000,2.5465,0.9628,20.8690
192.5000,2.5669,0.9458,20.7008
192.6000,2.5875,0.9292,20.5333
192.7000,2.6084,0.9129,20.3664
192.8000,2.6295,0.8971,20.2003
192.9000,2.6508,0.8816,20.0349
193.0000,2.6724,0.8664,19.8703
193.1000,2.6943,0.8517,19.7064
193.2000,2.7164,0.8372,19.5433
193.3000,2.7388,0.8231,19.3810
193.4000,2.7614,0.8093,19.2195
193.5000,2.7843,0.7958,19.0588
193.6000,2.8075,0.7826,18.8990
193.7000,2.8309,0.7698,18.7400
193.8000,2.8546,0.7572,18.5819
193.9000,2.8785,0.7449,18.4247
194.0000,2.9027,0.7328,18.2683
194.1000,2.9272,0.7211,18.1128
194.2000,2.9520,0.7096,17.9583
194.3000,2.9770,0.6983,17.8046
194.4000,3.0023,0.6873,17.6519
194.5000,3.0279,0.6766,17.5001
194.6000,3.0538,0.6661,17.3493
194.7000,3.0799,0.6558,17.1994
194.8000,3.1063,0.6457,17.0504
194.9000,3.1331,0.6359,16.9024
195.0000,3.1601,0.6262,16.7554
195.1000,3.1873,0.6168,16.6093
195.2000,3.2149,0.6076,16.4642
195.3000,3.2428,0.5985,16.3200
195.4000,3.2710,0.5897,16.1768
195.5000,3.2994,0.5811,16.0346
195.6000,3.3282,0.5726,15.8934
195.7000,3.3573,0.5643,15.7532
195.8000,3.3866,0.5562,15.6139
195.9000,3.4163,0.5483,15.4756
196.0000,3.4463,0.5405,15.3383
196.1000,3.4766,0.5329,15.2020
196.2000,3.5072,0.5255,15.0667
196.3000,3.5382,0.5182,14.9324
196.4000,3.5694,0.5110,14.7990
196.5000,3.6010,0.5040,14.6666
196.6000,3.6329,0.4972,14.5352
196.7000,3.6651,0.4905,14.4048
196.8000,3.6976,0.4839,14.2754
196.9000,3.7305,0.4775,14.1469
197.0000,3.7637,0.4712,14.0195
197.1000,3.7973,0.4650,13.8930
197.2000,3.8312,0.4589,13.7675
197.3000,3.8654,0.4530,13.6429
197.4000,3.9000,0.4472,13.5193
197.5000,3.9349,0.4415,13.3967
197.6000,3.9702,0.4359,13.2750
197.7000,4.0058,0.4304,13.1543
197.8000,4.0418,0.4251,13.0346
197.9000,4.0781,0.4198,12.9158
198.0000,4.1148,0.4147,12.7980
198.1000,4.1519,0.4097,12.6811
198.2000,4.1894,0.4047,12.5651
198.3000,4.2272,0.3999,12.4501
198.4000,4.2654,0.3951,12.3360
198.5000,4.3039,0.3905,12.2229
198.6000,4.3429,0.3859,12.1107
198.7000,4.3822,0.3814,11.9994
198.8000,4.4219,0.3770,11.8890
198.9000,4.4620,0.3727,11.7795
199.0000,4.5025,0.3685,11.6710
199.1000,4.5434,0.3644,11.5633
199.2000,4.5847,0.3603,11.4565
199.3000,4.6264,0.3563,11.3507
199.4000,4.6685,0.3524,11.2457
199.5000,4.7110,0.3486,11.1416
199.6000,4.7539,0.3449,11.0384
199.7000,4.7972,0.3412,10.9361
199.8000,4.8410,0.3376,10.8346
199.9000,4.8852,0.3341,10.7340
200.0000,4.9298,0.3306,10.6343
200.1000,4.9748,0.3272,10.5354
200.2000,5.0203,0.3239,10.4374
200.3000,5.0662,0.3206,10.3402
200.4000,5.1126,0.3174,10.2438
200.5000,5.1594,0.3142,10.1483
200.6000,5.2066,0.3111,10.0536
200.7000,5.2543,0.3081,9.9597
200.8000,5.3025,0.3051,9.8667
200.9000,5.3511,0.3022,9.7744
201.0000,5.4002,0.2994,9.6830
201.1000,5.4497,0.2966,9.5924
201.2000,5.4997,0.2938,9.5025
201.3000,5.5502,0.2911,9.4135
201.4000,5.6012,0.2885,9.3252
201.5000,5.6526,0.2859,9.2377
201.6000,5.7046,0.2834,9.1510
201.7000,5.7570,0.2809,9.0651
201.8000,5.8099,0.2784,8.9799
201.9000,5.8634,0.2761,8.8955
202.0000,5.9173,0.2737,8.8118
202.1000,5.9717,0.2714,8.7289
202.2000,6.0267,0.2692,8.6467
202.3000,6.0821,0.2669,8.5653
202.4000,6.1381,0.2648,8.4846
202.5000,6.1946,0.2626,8.4046
202.6000,6.2517,0.2606,8.3253
202.7000,6.3092,0.2585,8.2467
202.8000,6.3674,0.2565,8.1689
202.9000,6.4260,0.2546,8.0917
203.0000,6.4852,0.2526,8.0153
203.1000,6.5449,0.2508,7.9395
203.2000,6.6053,0.2489,7.8645
203.3000,6.6661,0.2471,7.7901
203.4000,6.7275,0.2453,7.7164
203.5000,6.7895,0.2436,7.6433
203.6000,6.8521,0.2419,7.5709
203.7000,6.9153,0.2403,7.4992
203.8000,6.9790,0.2386,7.4282
203.9000,7.0433,0.2370,7.3577
204.0000,7.1082,0.2355,7.2880
204.1000,7.1737,0.2340,7.2189
204.2000,7.2398,0.2325,7.1504
204.3000,7.3065,0.2310,7.0825
204.4000,7.3739,0.2296,7.0153
204.5000,7.4418,0.2282,6.9486
204.6000,7.5104,0.2268,6.8826
204.7000,7.5796,0.2255,6.8172
204.8000,7.6494,0.2242,6.7524
204.9000,7.7199,0.2229,6.6882
205.0000,7.7909,0.2217,6.6246
205.1000,7.8627,0.2205,6.5616
205.2000,7.9351,0.2193,6.4992
205.3000,8.0081,0.2182,6.4373
205.4000,8.0818,0.2170,6.3760
205.5000,8.1562,0.2160,6.3153
205.6000,8.2313,0.2149,6.2552
205.7000,8.3070,0.2138,6.1956
205.8000,8.3834,0.2128,6.1366
205.9000,8.4605,0.2119,6.0781
206.0000,8.5383,0.2109,6.0202
206.1000,8.6168,0.2100,5.9628
206.2000,8.6960,0.2091,5.9059
206.3000,8.7759,0.2082,5.8496
206.4000,8.8565,0.2073,5.7938
206.5000,8.9378,0.2065,5.7385
206.6000,9.0199,0.2057,5.6838
206.7000,9.1027,0.2049,5.6295
206.8000,9.1862,0.2042,5.5758
206.9000,9.2704,0.2035,5.5226
207.0000,9.3554,0.2028,5.4698
207.1000,9.4412,0.2021,5.4176
207.2000,9.5277,0.2015,5.3659
207.3000,9.6150,0.2008,5.3146
207.4000,9.7031,0.2002,5.2638
207.5000,9.7919,0.1997,5.2135
207.6000,9.8815,0.1991,5.1637
207.7000,9.9719,0.1986,5.1144
207.8000,10.0631,0.1981,5.0655
207.9000,10.1550,0.1976,5.0171
208.0000,10.2478,0.1971,4.9691
208.1000,10.3414,0.1967,4.9216
208.2000,10.4358,0.1963,4.8746
208.3000,10.5311,0.1959,4.8279
208.4000,10.6271,0.1956,4.7818
208.5000,10.7240,0.1952,4.7361
208.6000,10.8217,0.1949,4.6908
208.7000,10.9203,0.1946,4.6459
208.8000,11.0197,0.1944,4.6015
208.9000,11.1200,0.1942,4.5574
209.0000,11.2211,0.1939,4.5138
209.1000,11.3231,0.1937,4.4707
209.2000,11.4260,0.1936,4.4279
209.3000,11.5297,0.1934,4.3855
209.4000,11.6343,0.1933,4.3436
209.5000,11.7399,0.1932,4.3020
209.6000,11.8463,0.1932,4.2609
209.7000,11.9536,0.1931,4.2201
209.8000,12.0618,0.1931,4.1797
209.9000,12.1710,0.1931,4.1397
210.0000,12.2810,0.1931,4.1001
210.1000,12.3920,0.1932,4.0609
210.2000,12.5040,0.1933,4.0220
210.3000,12.6168,0.1934,3.9836
210.4000,12.7306,0.1935,3.9454
210.5000,12.8454,0.1937,3.9077
210.6000,12.9611,0.1939,3.8703
210.7000,13.0777,0.1941,3.8333
210.8000,13.1954,0.1943,3.7966
210.9000,13.3140,0.1946,3.7603
211.0000,13.4336,0.1949,3.7243
211.1000,13.5541,0.1952,3.6887
211.2000,13.6757,0.1956,3.6535
211.3000,13.7983,0.1959,3.6185
211.4000,13.9218,0.1963,3.5839
211.5000,14.0464,0.1968,3.5497
211.6000,14.1720,0.1972,3.5157
211.7000,14.2986,0.1977,3.4821
211.8000,14.4262,0.1982,3.4488
211.9000,14.5548,0.1988,3.4159
212.0000,14.6845,0.1994,3.3832
212.1000,14.8152,0.2000,3.3509
212.2000,14.9470,0.2006,3.3189
212.3000,15.0798,0.2013,3.2872
212.4000,15.2137,0.2020,3.2558
212.5000,15.3487,0.2027,3.2247
212.6000,15.4847,0.2035,3.1939
212.7000,15.6218,0.2043,3.1634
212.8000,15.7600,0.2052,3.1332
212.9000,15.8992,0.2061,3.1033
213.0000,16.0396,0.2070,3.0737
213.1000,16.1810,0.2079,3.0444
213.2000,16.3236,0.2089,3.0154
213.3000,16.4672,0.2099,2.9866
213.4000,16.6120,0.2110,2.9581
213.5000,16.7578,0.2121,2.9299
213.6000,16.9048,0.2132,2.9020
213.7000,17.0529,0.2144,2.8744
213.8000,17.2022,0.2156,2.8470
213.9000,17.3525,0.2169,2.8199
214.0000,17.5041,0.2182,2.7930
214.1000,17.6567,0.2196,2.7665
214.2000,17.8105,0.2210,2.7401
214.3000,17.9655,0.2224,2.7141
214.4000,18.1216,0.2239,2.6883
214.5000,18.2788,0.2255,2.6627
214.6000,18.4372,0.2271,2.6374
214.7000,18.5968,0.2287,2.6124
214.8000,18.7576,0.2304,2.5876
214.9000,18.9195,0.2321,2.5630
215.0000,19.0826,0.2339,2.5387
215.1000,19.2469,0.2358,2.5146
215.2000,19.4124,0.2377,2.4908
215.3000,19.5790,0.2397,2.4672
215.4000,19.7468,0.2417,2.4438
215.5000,19.9158,0.2438,2.4206
215.6000,20.0861,0.2459,2.3977
215.7000,20.2575,0.2482,2.3750
215.8000,20.4301,0.2505,2.3526
215.9000,20.6039,0.2528,2.3304
216.0000,20.7789,0.2552,2.3083
216.1000,20.9550,0.2577,2.2865
216.2000,21.1324,0.2603,2.2650
216.3000,21.3110,0.2629,2.2436
216.4000,21.4908,0.2656,2.2224
216.5000,21.6718,0.2684,2.2015
216.6000,21.8540,0.2713,2.1808
216.7000,22.0374,0.2743,2.1603
216.8000,22.2220,0.2773,2.1399
216.9000,22.4078,0.2805,2.1198
217.0000,22.5948,0.2837,2.0999
217.1000,22.7830,0.2870,2.0802
217.2000,22.9724,0.2904,2.0607
217.3000,23.1630,0.2940,2.0414
217.4000,23.3548,0.2976,2.0223
217.5000,23.5478,0.3013,2.0034
217.6000,23.7419,0.3051,1.9846
217.7000,23.9373,0.3091,1.9661
217.8000,24.1338,0.3131,1.9477
217.9000,24.3315,0.3173,1.9296
218.0000,24.5303,0.3216,1.9116
218.1000,24.7304,0.3261,1.8938
218.2000,24.9315,0.3306,1.8762
218.3000,25.1339,0.3353,1.8588
218.4000,25.3373,0.3401,1.8415
218.5000,25.5419,0.3451,1.8244
218.6000,25.7477,0.3502,1.8075
218.7000,25.9545,0.3555,1.7908
218.8000,26.1625,0.3610,1.7743
218.9000,26.3715,0.3666,1.7579
219.0000,26.5817,0.3723,1.7417
219.1000,26.7929,0.3783,1.7256
219.2000,27.0052,0.3844,1.7098
219.3000,27.2186,0.3907,1.6941
219.4000,27.4330,0.3972,1.6785
219.5000,27.6484,0.4039,1.6632
219.6000,27.8648,0.4107,1.6480
219.7000,28.0822,0.4179,1.6329
219.8000,28.3007,0.4252,1.6180
219.9000,28.5200,0.4327,1.6033
220.0000,28.7403,0.4405,1.5887
220.1000,28.9616,0.4485,1.5743
220.2000,29.1837,0.4568,1.5601
220.3000,29.4068,0.4654,1.5460
220.4000,29.6306,0.4742,1.5320
220.5000,29.8554,0.4833,1.5183
220.6000,30.0809,0.4926,1.5046
220.7000,30.3072,0.5023,1.4911
220.8000,30.5343,0.5123,1.4778
220.9000,30.7621,0.5226,1.4646
221.0000,30.9906,0.5332,1.4516
221.1000,31.2197,0.5442,1.4387
221.2000,31.4495,0.5555,1.4259
221.3000,31.6799,0.5672,1.4133
221.4000,31.9109,0.5793,1.4009
221.5000,32.1424,0.5918,1.3885
221.6000,32.3743,0.6047,1.3764
221.7000,32.6067,0.6181,1.3643
221.8000,32.8395,0.6318,1.3525
221.9000,33.0726,0.6461,1.3407
222.0000,33.3061,0.6608,1.3291
222.1000,33.5398,0.6760,1.3176
222.2000,33.7737,0.6917,1.3063
222.3000,34.0077,0.7080,1.2951
222.4000,34.2418,0.7248,1.2841
222.5000,34.4760,0.7422,1.2732
222.6000,34.7101,0.7602,1.2624
222.7000,34.9442,0.7788,1.2518
222.8000,35.1780,0.7981,1.2413
222.9000,35.4116,0.8180,1.2309
223.0000,35.6450,0.8387,1.2207
223.1000,35.8779,0.8600,1.2106
223.2000,36.1103,0.8822,1.2006
223.3000,36.3422,0.9051,1.1908
223.4000,36.5735,0.9288,1.1811
223.5000,36.8040,0.9533,1.1716
223.6000,37.0338,0.9788,1.1622
223.7000,37.2625,1.0051,1.1529
223.8000,37.4903,1.0324,1.1437
223.9000,37.7169,1.0607,1.1347
224.0000,37.9423,1.0900,1.1259
224.1000,38.1663,1.1204,1.1171
224.2000,38.3889,1.1519,1.1085
224.3000,38.6098,1.1846,1.1001
224.4000,38.8290,1.2184,1.0917
224.5000,39.0464,1.2535,1.0835
224.6000,39.2617,1.2899,1.0755
224.7000,39.4748,1.3276,1.0676
224.8000,39.6857,1.3668,1.0598
224.9000,39.8940,1.4073,1.0522
225.0000,40.0997,1.4494,1.0447
225.1000,40.3027,1.4931,1.0373
225.2000,40.5026,1.5384,1.0301
225.3000,40.6994,1.5854,1.0231
225.4000,40.8928,1.6341,1.0162
225.5000,41.0826,1.6847,1.0094
225.6000,41.2687,1.7372,1.0028
225.7000,41.4509,1.7916,0.9963
225.8000,41.6288,1.8481,0.9900
225.9000,41.8023,1.9068,0.9838
226.0000,41.9712,1.9676,0.9778
226.1000,42.1352,2.0307,0.9720
226.2000,42.2940,2.0961,0.9663
226.3000,42.4475,2.1641,0.9607
226.4000,42.5953,2.2345,0.9554
226.5000,42.7371,2.3076,0.9502
226.6000,42.8728,2.3835,0.9451
226.7000,43.0019,2.4621,0.9403
226.8000,43.1243,2.5437,0.9356
226.9000,43.2396,2.6283,0.9311
227.0000,43.3474,2.7160,0.9268
227.1000,43.4476,2.8069,0.9226
227.2000,43.5397,2.9012,0.9187
227.3000,43.6234,2.9989,0.9149
227.4000,43.6985,3.1002,0.9114
227.5000,43.7644,3.2051,0.9080
227.6000,43.8210,3.3137,0.9048
227.7000,43.8679,3.4263,0.9019
227.8000,43.9046,3.5428,0.8992
227.9000,43.9309,3.6633,0.8967
228.0000,43.9464,3.7881,0.8944
228.1000,43.9507,3.9172,0.8923
228.2000,43.9435,4.0506,0.8905
228.3000,43.9244,4.1886,0.8889
228.4000,43.8930,4.3311,0.8876
228.5000,43.8490,4.4784,0.8866
228.6000,43.7921,4.6304,0.8858
228.7000,43.7219,4.7872,0.8853
228.8000,43.6380,4.9490,0.8850
228.9000,43.5402,5.1158,0.8851
229.0000,43.4282,5.2877,0.8854
229.1000,43.3016,5.4647,0.8861
229.2000,43.1601,5.6468,0.8871
229.3000,43.0035,5.8342,0.8884
229.4000,42.8316,6.0267,0.8901
229.5000,42.6441,6.2245,0.8921
229.6000,42.4408,6.4276,0.8944
229.7000,42.2216,6.6358,0.8972
229.8000,41.9863,6.8492,0.9003
229.9000,41.7347,7.0678,0.9038
230.0000,41.4669,7.2914,0.9078
230.1000,41.1827,7.5200,0.9122
230.2000,40.8821,7.7535,0.9170
230.3000,40.5653,7.9917,0.9223
230.4000,40.2322,8.2346,0.9280
230.5000,39.8829,8.4819,0.9343
230.6000,39.5177,8.7336,0.9410
230.7000,39.1367,8.9892,0.9483
230.8000,38.7401,9.2488,0.9562
230.9000,38.3283,9.5119,0.9646
231.0000,37.9016,9.7784,0.9736
231.1000,37.4603,10.0480,0.9832
231.2000,37.0050,10.3203,0.9935
231.3000,36.5361,10.5950,1.0044
231.4000,36.0540,10.8718,1.0160
231.5000,35.5595,11.1504,1.0282
231.6000,35.0530,11.4302,1.0413
231.7000,34.5352,11.7110,1.0550
231.8000,34.0069,11.9924,1.0696
231.9000,33.4687,12.2739,1.0850
232.0000,32.9213,12.5550,1.1012
232.1000,32.3657,12.8355,1.1182
232.2000,31.8024,13.1147,1.1362
232.3000,31.2325,13.3923,1.1551
232.4000,30.6567,13.6678,1.1750
232.5000,30.0759,13.9407,1.1959
232.6000,29.4910,14.2107,1.2178
232.7000,28.9027,14.4772,1.2408
232.8000,28.3120,14.7399,1.2648
232.9000,27.7198,14.9983,1.2901
233.0000,27.1269,15.2520,1.3164
233.1000,26.5341,15.5005,1.3440
233.2000,25.9423,15.7436,1.3729
233.3000,25.3522,15.9808,1.4031
233.4000,24.7647,16.2117,1.4345
233.5000,24.1805,16.4361,1.4674
233.6000,23.6003,16.6536,1.5017
233.7000,23.0249,16.8640,1.5374
233.8000,22.4549,17.0669,1.5747
233.9000,21.8908,17.2622,1.6134
234.0000,21.3334,17.4495,1.6538
234.1000,20.7831,17.6288,1.6958
234.2000,20.2405,17.7998,1.7395
234.3000,19.7060,17.9623,1.7849
234.4000,19.1801,18.1164,1.8321
234.5000,18.6631,18.2617,1.8810
234.6000,18.1553,18.3984,1.9319
234.7000,17.6572,18.5263,1.9846
234.8000,17.1689,18.6453,2.0392
234.9000,16.6907,18.7556,2.0959
235.0000,16.2227,18.8570,2.1546
235.1000,15.7652,18.9496,2.2153
235.2000,15.3182,19.0335,2.2782
235.3000,14.8819,19.1088,2.3432
235.4000,14.4563,19.1754,2.4105
235.5000,14.0413,19.2335,2.4799
235.6000,13.6371,19.2832,2.5517
235.7000,13.2436,19.3246,2.6257
235.8000,12.8607,19.3578,2.7021
235.9000,12.4884,19.3831,2.7809
236.0000,12.1266,19.4004,2.8621
236.1000,11.7752,19.4101,2.9458
236.2000,11.4340,19.4122,3.0319
236.3000,11.1029,19.4070,3.1206
236.4000,10.7817,19.3945,3.2118
236.5000,10.4704,19.3751,3.3055
236.6000,10.1687,19.3488,3.4018
236.7000,9.8764,19.3158,3.5008
236.8000,9.5933,19.2765,3.6023
236.9000,9.3193,19.2308,3.7065
237.0000,9.0541,19.1791,3.8133
237.1000,8.7975,19.1214,3.9228
237.2000,8.5493,19.0581,4.0349
237.3000,8.3094,18.9893,4.1497
237.4000,8.0774,18.9152,4.2671
237.5000,7.8532,18.8359,4.3872
237.6000,7.6365,18.7517,4.5099
237.7000,7.4272,18.6628,4.6352
237.8000,7.2250,18.5692,4.7632
237.9000,7.0298,18.4713,4.8938
238.0000,6.8412,18.3692,5.0269
238.1000,6.6592,18.2630,5.1626
238.2000,6.4834,18.1529,5.3008
238.3000,6.3138,18.0392,5.4415
238.4000,6.1501,17.9218,5.5846
238.5000,5.9921,17.8011,5.7301
238.6000,5.8396,17.6772,5.8780
238.7000,5.6925,17.5502,6.0281
238.8000,5.5505,17.4202,6.1806
238.9000,5.4136,17.2875,6.3352
239.0000,5.2815,17.1522,6.4919
239.1000,5.1540,17.0144,6.6507
239.2000,5.0311,16.8742,6.8115
239.3000,4.9125,16.7318,6.9742
239.4000,4.7981,16.5873,7.1388
239.5000,4.6877,16.4408,7.3051
239.6000,4.5813,16.2926,7.4730
239.7000,4.4787,16.1426,7.6426
239.8000,4.3796,15.9910,7.8136
239.9000,4.2841,15.8379,7.9861
240.0000,4.1920,15.6835,8.1598
240.1000,4.1032,15.5278,8.3347
240.2000,4.0175,15.3710,8.5108
240.3000,3.9349,15.2131,8.6878
240.4000,3.8552,15.0543,8.8656
240.5000,3.7783,14.8946,9.0443
240.6000,3.7042,14.7343,9.2236
240.7000,3.6327,14.5732,9.4034
240.8000,3.5637,14.4117,9.5836
240.9000,3.4972,14.2496,9.7641
241.0000,3.4331,14.0872,9.9448
241.1000,3.3712,13.9246,10.1256
241.2000,3.3116,13.7617,10.3062
241.3000,3.2541,13.5987,10.4867
241.4000,3.1986,13.4356,10.6669
241.5000,3.1451,13.2726,10.8466
241.6000,3.0935,13.1097,11.0258
241.7000,3.0438,12.9470,11.2042
241.8000,2.9958,12.7846,11.3819
241.9000,2.9496,12.6224,11.5586
242.0000,2.9050,12.4607,11.7343
242.1000,2.8620,12.2994,11.9088
242.2000,2.8206,12.1387,12.0819
242.3000,2.7806,11.9785,12.2537
242.4000,2.7422,11.8189,12.4239
242.5000,2.7051,11.6601,12.5925
242.6000,2.6694,11.5020,12.7594
242.7000,2.6349,11.3447,12.9244
242.8000,2.6018,11.1883,13.0873
242.9000,2.5698,11.0328,13.2483
243.0000,2.5391,10.8782,13.4070
243.1000,2.5095,10.7246,13.5635
243.2000,2.4810,10.5721,13.7176
243.3000,2.4536,10.4206,13.8692
243.4000,2.4272,10.2703,14.0183
243.5000,2.4018,10.1211,14.1647
243.6000,2.3774,9.9731,14.3084
243.7000,2.3539,9.8264,14.4493
243.8000,2.3314,9.6809,14.5873
243.9000,2.3097,9.5367,14.7224
244.0000,2.2889,9.3938,14.8544
244.1000,2.2690,9.2523,14.9834
244.2000,2.2498,9.1121,15.1093
244.3000,2.2314,8.9734,15.2319
244.4000,2.2138,8.8360,15.3514
244.5000,2.1970,8.7001,15.4675
244.6000,2.1808,8.5657,15.5803
244.7000,2.1654,8.4327,15.6897
244.8000,2.1506,8.3013,15.7957
244.9000,2.1365,8.1713,15.8983
245.0000,2.1231,8.0429,15.9974
245.1000,2.1102,7.9159,16.0930
245.2000,2.0980,7.7906,16.1851
245.3000,2.0864,7.6667,16.2736
245.4000,2.0753,7.5444,16.3586
245.5000,2.0648,7.4237,16.4401
